key,2021.09.17.0000.0000,2021.10.26.0000.0000,2021.11.28.0000.0000,2021.12.16.0000.0000,2021.12.24.0000.0000,2022.01.06.0000.0000,2022.01.25.0000.0000
_game_ver,cn_5.55,cn_5.57,in_6.00,in_6.01,in_6.05,cn_5.58,in_6.08
ActionSend,0x0140,0x0145,0x00CB,0x0188,0x034D,0x02EC,0x008E
ChatHandler,0x0348,0x026E,0x01CC,0x02F8,0x0276,0x0374,0x01C8
ClientTrigger,0x0270,0x03B9,0x03AC,0x0204,0x00E7,0x007C,0x02F1
EventAction,0x011B,0x01DF,0x01BF,,,0x00e2,0x01EA
EventFinish,0x00D2,0x00DF,0x023D,0x024C,,0x02E3,0x008D
EventStart,0x0315,0x02E8,0x00B7,0x01AC,0x0112,0x02BD,0x036b
InventoryModifyHandler,0x039A,0x01D5,0x00A3,0x0097,0x01B9,0x0281,0x0154
MarketBoardPurchaseHandler,0x010C,0x03D2,0x00DC,0x00FD,0x0387,0x0111,0x0282
MarketBoardQueryItemCount,0x0230,0x03CF,,0x03D9,0x0358,0x03D4,0x0327
SetSearchInfoHandler,0x035D,0x0231,0x03B1,0x01A1,0x031A,0x00F5,0x02BB
TripleTriadPlaceCardSend,0x02F4,0x01D4,,,,0x02AB,
TripleTriadSelectDeck,0x00C1,0x02D1,,,,0x0207,
UpdatePositionHandler,0x0184,0x025E,0x0346,0x03CA,0x021B,0x009A,0x0147
UpdatePositionInstance,0x0262,0x0310,0x0163,0x038D,0x00A3,0x030A,0x0209
