key,2021.09.17.0000.0000,2021.10.26.0000.0000,2021.11.28.0000.0000,2021.12.16.0000.0000,2021.12.24.0000.0000,2022.01.06.0000.0000,2022.01.25.0000.0000
_game_ver,cn_5.55,cn_5.57,in_6.00,in_6.01,in_6.05,cn_5.58,in_6.08
ActorCast,0x00EF,0x0116,0x0108,0x02F2,0x0307,0x013A,0x0104
ActorControl,0x01D8,0x00CA,0x017E,0x01FB,0x02CF,0x012E,0x022F
ActorControlSelf,0x0354,0x0245,0x02E6,0x02C2,0x0096,0x0303,0x006B
ActorControlTarget,0x031E,0x017A,0x0168,0x0143,0x0272,0x01D2,0x0191
ActorFreeSpawn,0x02EF,,,,,,
ActorGauge,0x0226,0x0198,0x0283,0x0208,0x022D,0x03C0,0x03B5
ActorMove,0x0262,0x0310,0x0235,0x0189,0x00DB,0x0195,0x0370
ActorSetPos,0x0259,0x0290,0x0199,0x011F,0x0081,0x03C6,0x0395
AirshipExplorationResult,0x02A9,0x00CD,0x00B4,0x03C8,0x02BB,0x00D8,0x0212
AirshipStatus,0x0166,0x028D,0x01E3,0x0375,0x01AD,0x01E8,0x023E
AirshipStatusList,0x03C7,0x0122,0x023F,0x02F6,0x0182,0x010E,0x01F5
AirshipTimers,,,0x00ED,0x0202,0x01C7,,0x0225
AoeEffect16,0x00D2,0x00DF,0x02CE,0x02BE,0x01FA,0x02D5,0x00C1
AoeEffect24,0x0297,0x018F,0x02ED,0x0288,0x0300,0x00E1,0x0213
AoeEffect32,0x01F1,0x00ED,0x023A,0x0238,0x03CD,0x00C7,0x038B
AoeEffect8,0x03C0,0x020D,0x01BA,0x02B0,0x01F4,0x01E5,0x0149
CEDirector,0x00C0,0x016F,,,,0x024E,
CFNotify,,,0x0317,0x039B,0x0183,,0x01C5
CFPreferredRole,0x0376,0x01F1,,,,0x027A,0x02DA
ContainerInfo,0x01EF,0x0144,0x00EE,0x0358,0x0126,0x02F9,0x037A
ContentFinderNotifyPop,0x01DD,0x0225,,,,0x00C3,
CraftStatus,0x015E,0x0242,,,,,
CurrencyCrystalInfo,0x036B,0x02A3,0x0258,0x0107,0x0130,0x0093,0x02BE
DesynthResult,0x0193,0x039D,0x02D5,0x014D,0x031B,0x031C,0x0143
DirectorStart,0x02E0,0x03B0,,,,0x00C0,
Effect,0x006E,0x032E,0x035A,0x01D0,0x033E,0x03B1,0x03C7
EffectResult,0x0315,0x02E8,0x0196,0x011C,0x0203,0x018D,0x00DE
EffectResult2,,,0x0093,,,,
EffectResult3,,,0x0352,,,,
EffectResultBasic,,,,0x024C,0x0330,,0x034E
EventFinish,0x0283,0x01C2,0x01B8,0x01A6,0x0206,0x025B,0x0210
EventPlay,0x030D,0x0276,0x00A5,0x0396,0x013F,0x03A0,0x0113
EventPlay128,,,0x016E,0x034E,0x032C,,0x033E
EventPlay16,,,0x01F4,0x0175,0x00D0,,0x0223
EventPlay255,,,0x0366,0x0109,0x0295,,0x0079
EventPlay32,,,0x0065,0x024A,0x00C5,,0x02F2
EventPlay4,0x02D2,0x028C,0x022E,0x00A6,0x0212,0x0233,0x0302
EventPlay64,,,0x03A8,0x03AB,0x00C6,,0x03BC
EventPlay8,,,0x018B,0x01AE,0x010B,,0x0078
EventStart,0x013A,0x00EC,0x0334,0x0200,0x01D6,0x008B,0x00AE
Examine,0x02F1,0x03CC,0x011B,0x00A9,0x02AB,0x0219,0x03E2
ExamineSearchInfo,0x0177,0x02EC,,0x02A0,0x0222,0x01ED,0x0297
FreeCompanyDialog,0x0106,0x0156,0x036E,0x01EF,0x0261,0x0213,0x0288
FreeCompanyInfo,0x009C,0x019D,0x031C,0x0122,0x013D,0x03C9,0x01A2
GroupMessage,0x006C,,,,,,
HousingInfo,0x0136,0x02DA,,,,,
InitZone,0x0343,0x01D6,0x02C4,0x0309,0x0137,0x0367,0x01EB
InventoryActionAck,0x0293,0x030F,0x00FC,0x0260,0x02EA,0x01E1,0x008A
InventoryTransaction,0x0167,0x02E4,0x008F,0x03E2,0x02BC,0x0182,0x0382
InventoryTransactionFinish,0x01B1,0x0066,0x039B,0x014F,0x0269,0x0220,0x0299
ItemInfo,0x0103,0x036A,0x0173,0x0363,0x029F,0x0305,0x02A9
ItemMarketBoardInfo,0x0126,0x01C3,0x008A,0x016B,0x03D6,0x03E0,0x0114
Logout,0x0397,,0x02EC,0x03D6,0x008A,,0x03B2
MapEffect,,,0x01BD,0x0233,0x00BF,,0x03BA
MarketBoardItemListing,0x03B5,0x0325,0x0323,0x01D7,0x01F2,0x01A2,0x01E2
MarketBoardItemListingCount,0x01A3,0x022D,0x023C,0x010F,0x02A3,0x006C,0x026A
MarketBoardItemListingHistory,0x0218,0x02C8,0x0192,0x01B7,0x02DB,0x02FC,0x013A
MarketBoardPurchase,0x0122,0x021B,0x009D,0x03D0,0x03DB,0x022C,0x00A3
