key,2021.09.17.0000.0000,2021.10.26.0000.0000,2021.11.28.0000.0000,2021.12.16.0000.0000,2021.12.24.0000.0000
_game_ver,cn_5.55,cn_5.57,in_6.00,in_6.01,in_6.05
ActorCast,0x00EF,0x0116,0x0108,0x02F2,0x0307
ActorControl,0x01D8,0x00CA,0x017E,0x01FB,0x02CF
ActorControlSelf,0x0354,0x0245,0x02E6,0x02C2,0x0096
ActorControlTarget,0x031E,0x017A,0x0168,0x0143,0x0272
ActorFreeSpawn,0x02EF,,,,
ActorGauge,0x0226,0x0198,0x0283,0x0208,0x022D
ActorMove,0x0262,0x0310,0x0235,0x0189,0x00DB
ActorSetPos,0x0259,0x0290,0x0199,0x011F,0x0081
AirshipExplorationResult,0x02A9,0x00CD,0x00B4,0x03C8,0x02BB
AirshipStatus,0x0166,0x028D,0x01E3,0x0375,0x01AD
AirshipStatusList,0x03C7,0x0122,0x023F,0x02F6,0x0182
AirshipTimers,,,0x00ED,0x0202,0x01C7
AoeEffect16,0x00D2,0x00DF,0x02CE,0x02BE,0x01FA
AoeEffect24,0x0297,0x018F,0x02ED,0x0288,0x0300
AoeEffect32,0x01F1,0x00ED,0x023A,0x0238,0x03CD
AoeEffect8,0x03C0,0x020D,0x01BA,0x02B0,0x01F4
CEDirector,0x00C0,0x016F,,,
CFNotify,,,0x0317,0x039B,0x0183
CFPreferredRole,0x0376,0x01F1,,,
ContainerInfo,0x01EF,0x0144,0x00EE,0x0358,0x0126
ContentFinderNotifyPop,0x01DD,0x0225,,,
CraftStatus,0x015E,0x0242,,,
CurrencyCrystalInfo,0x036B,0x02A3,0x0258,0x0107,0x0130
DesynthResult,0x0193,0x039D,0x02D5,0x014D,0x031B
DirectorStart,0x02E0,0x03B0,,,
Effect,0x006E,0x032E,0x035A,0x01D0,0x033E
EffectResult,0x0315,0x02E8,0x0196,0x011C,0x0203
EffectResult2,,,0x0093,,
EffectResult3,,,0x0352,,
EffectResultBasic,,,,0x024C,0x0330
EventFinish,0x0283,0x01C2,0x01B8,0x01A6,0x0206
EventPlay,0x030D,0x0276,0x00A5,0x0396,0x013F
EventPlay128,,,0x016E,0x034E,0x032C
EventPlay16,,,0x01F4,0x0175,0x00D0
EventPlay255,,,0x0366,0x0109,0x0295
EventPlay32,,,0x0065,0x024A,0x00C5
EventPlay4,0x02D2,0x028C,0x022E,0x00A6,0x0212
EventPlay64,,,0x03A8,0x03AB,0x00C6
EventPlay8,,,0x018B,0x01AE,0x010B
EventStart,0x013A,0x00EC,0x0334,0x0200,0x01D6
Examine,0x02F1,0x03CC,0x011B,0x00A9,0x02AB
ExamineSearchInfo,0x0177,0x02EC,,0x02A0,0x0222
FreeCompanyDialog,0x0106,0x0156,0x036E,0x01EF,0x0261
FreeCompanyInfo,0x009C,0x019D,0x031C,0x0122,0x013D
GroupMessage,0x006C,,,,
HousingInfo,0x0136,0x02DA,,,
InitZone,0x0343,0x01D6,0x02C4,0x0309,0x0137
InventoryActionAck,0x0293,0x030F,0x00FC,0x0260,0x02EA
InventoryTransaction,0x0167,0x02E4,0x008F,0x03E2,0x02BC
InventoryTransactionFinish,0x01B1,0x0066,0x039B,0x014F,0x0269
ItemInfo,0x0103,0x036A,0x0173,0x0363,0x029F
ItemMarketBoardInfo,0x0126,0x01C3,0x008A,0x016B,0x03D6
Logout,0x0397,,0x02EC,0x03D6,0x008A
MapEffect,,,0x01BD,0x0233,0x00BF
MarketBoardItemListing,0x03B5,0x0325,0x0323,0x01D7,0x01F2
MarketBoardItemListingCount,0x01A3,0x022D,0x023C,0x010F,0x02A3
MarketBoardItemListingHistory,0x0218,0x02C8,0x0192,0x01B7,0x02DB
MarketBoardPurchase,0x0122,0x021B,0x009D,0x03D0,0x03DB
MarketBoardSearchResult,0x03BA,0x00F1,0x0201,0x01E4,0x0213
NpcSpawn,0x0242,0x03B4,0x032E,0x039E,0x01D2
ObjectDespawn,,,,,0x0227
ObjectSpawn,0x0174,0x03D0,0x0319,0x0269,0x01FD
PlaceFieldMarker,0x0303,0x01F6,0x037D,0x01CD,0x00FD
PlaceFieldMarkerPreset,0x032B,0x00CB,0x01CF,0x0076,0x0067
PlayerSetup,0x01E2,0x0194,0x008B,0x00C5,0x03DD
PlayerSpawn,0x01EB,0x00F9,0x0133,0x00F7,0x0338
PlayerStats,0x03A0,0x017F,0x038D,0x024B,0x018C
Playtime,0x01C1,0x0255,0x03C3,0x03B6,0x039F
PrepareZoning,0x01BD,0x02D8,0x0090,0x02AC,0x01DD
PublicMessage,0x0145,,,,
ResultDialog,0x0243,0x0217,0x00AF,0x0330,0x0273
RetainerInformation,0x03B6,0x008E,0x0129,0x03A9,0x0318
SomeDirectorUnk4,0x03C5,0x0202,0x0164,0x0159,0x027A
StatusEffectList,0x0347,0x015E,0x02C5,0x02D2,0x0188
StatusEffectList2,0x013D,0x0296,,0x0256,0x0293
StatusEffectList3,,,,0x0106,0x0353
SubmarineExplorationResult,0x0311,0x026A,0x0183,0x03BF,0x0128
SubmarineProgressionStatus,0x009A,0x00A5,0x030B,0x009C,0x0121
SubmarineStatusList,0x0120,0x0176,0x02F4,0x010E,0x03A9
SubmarineTimers,,,0x00F5,0x006C,0x0211
SystemLogMessage,0x03C5,0x0202,,,
TripleTriadGameData,0x023D,0x030E,,,
TripleTriadGameDesc,0x026F,0x0169,,,
TripleTriadPlaceCardRecv,0x0157,0x0101,,,
UpdateClassInfo,0x02AA,0x0192,0x03A5,0x01B9,0x0202
UpdateHpMpTp,0x03DA,0x0153,0x0296,0x02B1,0x00F4
UpdateInventorySlot,0x01A1,0x027C,0x02B6,0x0131,0x027E
UpdateSearchInfo,0x00BD,0x013F,,0x00F1,0x01E3
WardLandInfo,0x0249,0x0292,,,
WeatherChange,,,0x01FD,0x01FD,0x028A
